revision;file;nodeIdentifier1;nodeIdentifier2
/experiment_ambrose/projects/ambrose/revisions/rev_8000215_8ad1e53/rev_8000215-8ad1e53.revisions;/pig/src/main/java/com/twitter/ambrose/service/DAGNode.java;public void setX(Double x) ;public void setX(Double x) 
/experiment_ambrose/projects/ambrose/revisions/rev_8000215_8ad1e53/rev_8000215-8ad1e53.revisions;/pig/src/main/java/com/twitter/ambrose/service/DAGNode.java;public void setY(Double y) ;public void setY(Double y) 
/experiment_ambrose/projects/ambrose/revisions/rev_74d23a0_5374520/rev_74d23a0-5374520.revisions;/common/src/main/java/com/twitter/ambrose/util/JSONUtil.java;public static String toJson(Object object) throws IOException ;public static String toJson(Object object) throws IOException 
/experiment_ambrose/projects/ambrose/revisions/rev_74d23a0_5374520/rev_74d23a0-5374520.revisions;/common/src/main/java/com/twitter/ambrose/util/JSONUtil.java;public static <T> T toObject(String json, TypeReference<T> type) throws IOException ;public static <T> T toObject(String json, TypeReference<T> type) throws IOException 
/experiment_ambrose/projects/ambrose/revisions/rev_74d23a0_5374520/rev_74d23a0-5374520.revisions;/common/src/main/java/com/twitter/ambrose/util/JSONUtil.java;private static final ObjectMapper mapper ;private static final ObjectMapper mapper 
/experiment_ambrose/projects/ambrose/revisions/rev_01f0331_a35dfeb/rev_01f0331-a35dfeb.revisions;/hive/src/main/java/com/twitter/ambrose/hive/MetricsCounter.java;/** * Lookup class that constructs Counter names to be retrieved from Hive published * statistics. Supports (legacy) Hadoop 0.20.x.x/1.x.x and YARN counter names. *  * @author Lorand Bendig <lbendig@gmail.com> * */public enum MetricsCounter ;/** * Lookup class that constructs Counter names to be retrieved from Hive published * statistics. Supports (legacy) Hadoop 0.20.x.x/1.x.x and YARN counter names. *  * @author Lorand Bendig <lbendig@gmail.com> * */public enum MetricsCounter 
/experiment_ambrose/projects/ambrose/revisions/rev_01f0331_a35dfeb/rev_01f0331-a35dfeb.revisions;/hive/src/main/java/com/twitter/ambrose/hive/MetricsCounter.java;;   private static final Map<MetricsCounter, String[]> lookup = new HashMap<MetricsCounter, String[]>();   static ;;   private static final Map<MetricsCounter, String[]> lookup = new HashMap<MetricsCounter, String[]>();   static 
/experiment_ambrose/projects/ambrose/revisions/rev_01f0331_a35dfeb/rev_01f0331-a35dfeb.revisions;/hive/src/main/java/com/twitter/ambrose/hive/MetricsCounter.java;private static final Map<MetricsCounter, String[]> lookup ;private static final Map<MetricsCounter, String[]> lookup 
/experiment_ambrose/projects/ambrose/revisions/rev_01f0331_a35dfeb/rev_01f0331-a35dfeb.revisions;/hive/src/main/java/com/twitter/ambrose/hive/MetricsCounter.java;private int type;private int type
/experiment_ambrose/projects/ambrose/revisions/rev_01f0331_a35dfeb/rev_01f0331-a35dfeb.revisions;/hive/src/main/java/com/twitter/ambrose/hive/MetricsCounter.java;private MetricsCounter(int type) ;private MetricsCounter(int type) 
